intent,snippet
normalize the dataframe `df` along the rows,np.sqrt(np.square(df).sum(axis=1))
"remove white spaces from the end of string ""    xyz     ""","""""""    xyz     """""".rstrip()"
outer product of each column of a 2d array to form a 3d array - numpy,"np.einsum('ij,kj->jik', X, X)"
get modified time of file `file`,time.ctime(os.path.getmtime(file))
python: how to read csv file with different separators?,"data = [line[i:i + 12] for i in range(0, len(line), 12)]"
how can i sum the product of two list items using for loop in python?,"sum(i * j for i, j in zip(a, b))"
find overlapping matches from a string `hello` using regex,"re.findall('(?=(\\w\\w))', 'hello')"
make a 0.1 seconds time delay,time.sleep(0.1)
sorting a list with objects of a class as its items,your_list.sort(key=lambda x: x.anniversary_score)
python - print tuple elements with no brackets,"print(', ,'.join([str(i[0]) for i in mytuple]))"
how to use random.shuffle() on a generator? python,random.shuffle(lst)
pyqt - how to detect and close ui if it's already running?,sys.exit(app.exec_())
python: built-in keyboard signal/interrupts,time.sleep(1)
replace comma with dot in a string `original_string` using regex,"new_string = re.sub('""(\\d+),(\\d+)""', '\\1.\\2', original_string)"
how to print a string without including '\n' in python,sys.stdout.write('text')
deleting specific control characters(\n \r \t) from a string,"re.sub('[\\t\\n\\r]', ' ', '1\n2\r3\t4')"
paging depending on grouping of items in django,messages = Message.objects.filter(head=True).order_by('time')[0:15]
is it possible to add a where clause with list comprehension?,"[(x, f(x)) for x in iterable if f(x)]"
how do i read the first line of a string?,my_string.splitlines()[0]
how to remove item from a python list if a condition is true?,x = [i for i in x if len(i) == 2]
string formatting in python,"""""""[{0}, {1}, {2}]"""""".format(1, 2, 3)"
how to get the original variable name of variable passed to a function,"['e', '1000', 'c']"
more efficient way to look up dictionary values whose keys start with same prefix,result = [d[key] for key in d if key.startswith(query)]
"create list `done` containing permutations of each element in list `[a, b, c, d]` with variable `x` as tuples","done = [(el, x) for el in [a, b, c, d]]"
decode url `url` from utf-16 code to utf-8 code,urllib.parse.unquote(url).decode('utf8')
shape of array python,"m[:, (0)].reshape(5, 1).shape"
how to change the window title in pyside?,self.show()
how to find list intersection?,c = [x for x in b if x in _auxset]
convert string `x'  to dictionary splitted by `=` using list comprehension,dict([x.split('=') for x in s.split()])
dictionary within dictionary in python 3,result = copy.deepcopy(old_dict) if old_dict is not None else {}
lambda function that adds two operands,"lambda x, y: x + y"
how to assign items inside a model object with django?,my_model.save()
how to write/read a pandas dataframe with multiindex from/to an ascii file?,"df.to_csv('mydf.tsv', sep='\t')"
is there a more pythonic way to populate a this list?,"[2, 4, 6, 8]"
how to check if any value of a column is in a range in pandas?,df[(x <= df['columnX']) & (df['columnX'] <= y)]
python: flatten to a list of lists but no more,"[[1, 2, 3], ['a', 'b', 'c']]"
sort list of strings `xs` by the length of string,xs.sort(key=lambda s: len(s))
how to implement a dynamic programming algorithms to tsp in python?,A = [[(0) for i in range(n)] for j in range(2 ** n)]
how to keep a python script output window open?,input()
comparing two dictionaries in python,"zip(iter(x.items()), iter(y.items()))"
matplotlib: vertical lines in scatter plot,plt.show()
sort dictionary `dictionary` in ascending order by its values,"sorted(list(dictionary.items()), key=operator.itemgetter(1))"
how to parse malformed html in python,print(soup.prettify())
python convert decimal to hex,hex(d).split('x')[1]
python: string formatting a regex string that uses both '%' and '{' as characters,"""""""([0-9]{{1,3}}[%])([{0}]?)"""""".format(config.SERIES)"
convert date string `s` in format pattern '%d/%m/%y' into a timestamp,"time.mktime(datetime.datetime.strptime(s, '%d/%m/%Y').timetuple())"
getting every possible combination in a list,"list(itertools.combinations([1, 2, 3, 4, 5, 6], 2))"
how to check if something exists in a postgresql database using django?,"Entry.objects.filter(name='name', title='title').exists()"
how to derive the week start for a given (iso) weeknumber / year in python,"datetime.datetime.strptime('2011, 4, 0', '%Y, %U, %w')"
sort dictionary `d` by key,od = collections.OrderedDict(sorted(d.items()))
is there a python builtin to create tuples from multiple lists?,"zip([1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14])"
python regular expression match,"print(re.sub('[.]', '', re.search('(?<=//).*?(?=/)', str).group(0)))"
making a list of evenly spaced numbers in a certain range in python,"np.linspace(0, 5, 10, endpoint=False)"
removing rows in a pandas dataframe where the row contains a string present in a list?,df[~df.From.str.contains('|'.join(ignorethese))]
python - remove and replace printed items,sys.stdout.write('\x1b[K')
simple python udp server: trouble receiving packets from clients other than localhost,"sock.bind(('', UDP_PORT))"
format string - spaces between every three digit,"""""""{:,}"""""".format(12345678.46)"
how to retrieve table names in a mysql database with python and mysqldb?,tables = cursor.fetchall()
subprocess.popen with a unicode path,"subprocess.call(['start', 'avi\xf3n.mp3'.encode('latin1')], shell=True)"
python pandas: plot histogram of dates?,df.groupby(df.date.dt.month).count().plot(kind='bar')
selenium webdriver - nosuchelementexceptions,driver.implicitly_wait(60)
get list of n next values of a generator `it`,"list(itertools.islice(it, 0, n, 1))"
python: getting rid of \u200b from a string using regular expressions,'used\u200b'.strip('\u200b')
change current working directory to directory 'chapter3',os.chdir('chapter3')
get all digits in a string `s` after a '[' character,"re.findall('\\d+(?=[^[]+$)', s)"
how to set the current working directory in python?,os.chdir('c:\\Users\\uname\\desktop\\python')
efficiently applying a function to a grouped pandas dataframe in parallel,"df.set_index('key', inplace=True)"
convert generator object to a dictionary,"dict((i, i * 2) for i in range(10))"
enclose numbers in quotes in a string `this is number 1 and this is number 22`,"re.sub('(\\d+)', '""\\1""', 'This is number 1 and this is number 22')"
fastest way to uniqify a list in python,"set([a, b, c, a])"
"can i do a ""string contains x"" with a percentage accuracy in python?","['uncorn', 'corny', 'unicycle']"
check if string contains a certain amount of words of another string,"zip(string, string[1:], string[2:])"
iterate backwards from 10 to 0,"range(10, 0, -1)"
get the maximum string length in nested list `i`,"len(max(i, key=len))"
how to print a unicode string in python in windows console,print('\u5f15\u8d77\u7684\u6216')
django order by highest number of likes,Article.objects.annotate(like_count=Count('likes')).order_by('-like_count')
parse string to int when string contains a number + extra characters,int(''.join(c for c in s if c.isdigit()))
how to programmatically tell celery to send all log messages to stdout or stderr?,my_handler = logging.StreamHandler(sys.stdout)
python - regex search and findall,"regex = re.compile('((\\d+,?)+)')"
how to select element with selenium python xpath,"driver.find_element_by_xpath(""//div[@id='a']//a[@class='click']"")"
python/matplotlib - is there a way to make a discontinuous axis?,plt.show()
converting a dict into a list,"['We', 'Love', 'Your', 'Dict']"
how can i make multiple empty arrays in python?,listOfLists = [[] for i in range(N)]
python numpy: cannot convert datetime64[ns] to datetime64[d] (to use with numba),testf(df['month_15'].astype('datetime64[D]').values)
how to split a string into integers in python?,"""""""42 0"""""".split()"
sort dict `data` by value,"sorted(data, key=data.get)"
can i run a python script as a service?,sys.exit(0)
python script that prints its source,print(f.read())
using regular expression to split string in python,[match.group(0) for match in pattern.finditer('44442(2)2(2)44')]
how to get n elements of a list not contained in another one?,"set([3, 5, 7, 9])"
sort the list of tuples `lst` by the sum of every value except the first and by the first value in reverse order,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]), reverse=True)"
python selenium click on button,driver.find_element_by_css_selector('.button.c_button.s_button').click()
"find rows of 2d array in 3d numpy array 'arr' if the row has value '[[0, 3], [3, 0]]'","np.argwhere(np.all(arr == [[0, 3], [3, 0]], axis=(1, 2)))"
numpy: find the euclidean distance between two 3-d arrays,"np.linalg.norm(A - B, axis=-1)"
convert utf-8 with bom to utf-8 with no bom in python,return s.decode('latin-1')
find button that is in li class `next` and assign it to variable `next`,next = driver.find_element_by_css_selector('li.next>a')
how to rotate a qpushbutton?,self.layout.addWidget(self.button)
python pandas: convert rows as column headers,"medals.reindex_axis(['Gold', 'Silver', 'Bronze'], axis=1)"
create a pandas dataframe of values from a dictionary `d` which contains dictionaries of dictionaries,"pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)"
how to find the index of a value in 2d array in python?,np.where(a == 1)
numpy array indexing,"array([0.63143784, 0.93852927, 0.0026815, 0.66263594, 0.2603184])"
store the output of command 'ls' in variable `direct_output`,"direct_output = subprocess.check_output('ls', shell=True)"
generate a waveform image from an audio file,matplotlib.pyplot.plot(raw_audio_data)
format string by binary list,"['-', 't', '-', 'c', '-', 'over', '----']"
what's the proper way to write comparator as key in python 3 for sorting?,"print(sorted(l, key=my_key))"
delete the first element in subview of a matrix,"b = np.delete(a, i, axis=0)"
persistent memoization in python,time.sleep(1)
beautifulsoup get value associated with attribute 'content' where attribute 'name' is equal to 'city' in tag 'meta' in html parsed string `soup`,"soup.find('meta', {'name': 'City'})['content']"
how to teach beginners reversing a string in python?,'dammit im mad'[::-1] == 'dammit im mad'
function to check if a string is a number,isdigit()
create list of dictionary python,"[{'data': 0}, {'data': 1}, {'data': 2}]"
how to convert string to class sub-attribute with python,"getattr(getattr(getattr(f, 'bar'), 'baz'), 'quux')"
sort a list of strings 'mylist'.,mylist.sort()
assign an array of floats in range from 0 to 100 to a variable `values`,"values = np.array([i for i in range(100)], dtype=np.float64)"
how to add a variable into my re.compile expression,regex2 = re.compile('.*({}).*'.format(what2look4))
print float `a` with two decimal points,"print(('%.2f' % round(a, 2)))"
how to check if a value is in the list in selection from pandas data frame?,"df_new[df_new['l_ext'].isin([31, 22, 30, 25, 64])]"
merge and sort a list using merge sort,"all_lst = [[2, 7, 10], [0, 4, 6], [1, 3, 11]]"
python regex to match string excluding word,"re.search('^((?!bantime|(invokername=server)).)*$', s, re.M).group()"
how to assert that a method is decorated with python unittest?,"assert getattr(MyClass.my_method, '__wrapped__').__name__ == 'my_method'"
loop through `mylist` with step 2,"for i in mylist[::2]:
    pass"
normalize line ends in a string 'mixed',"mixed.replace('\r\n', '\n').replace('\r', '\n')"
convert unicode cyrillic symbols to string in python,a.encode('utf-8')
writing a binary buffer to a file in python,myfile.write(c_uncompData_p[:c_uncompSize])
python: a complete list of modules,list(sys.modules.keys())
how to print variables without spaces between values,"print('Value is ""{}""'.format(value))"
python pandas: how to move one row to the first row of a dataframe?,"df = pd.DataFrame(np.random.randn(10, 5), columns=['a', 'b', 'c', 'd', 'e'])"
best way to find first non repeating character in a string,[a for a in s if s.count(a) == 1][0]
how can i set the mouse position in a tkinter window,root.mainloop()
"if i have this string in python, how do i decode it?",urllib.parse.unquote(string)
convert 3652458 to string represent a 32bit hex number,"""""""0x{0:08X}"""""".format(3652458)"
two subplots in python (matplotlib),plt.show()
print leading zeros of a floating point number,"print('%02i,%02i,%05.3g' % (3, 4, 5.66))"
python pandas: how to run multiple univariate regression by group,"df.grouby('grp').apply(ols_res, ['x1', 'x2'], 'y')"
sub matrix of a list of lists (without numpy),"[[2, 3, 4], [2, 3, 4], [2, 3, 4]]"
python: how to count overlapping occurrences of a substring,"len([_ for s in re.finditer('(?=aa)', 'aaa')])"
valueerror: setting an array element with a sequence,"numpy.array([[1, 2], [2, [3, 4]]])"
problems trying to format currency with python (django),"locale.setlocale(locale.LC_ALL, '')"
replacing characters in a file,"newcontents = contents.replace('a', 'e').replace('s', '3')"
check if a value exists in pandas dataframe index,'g' in df.index
how to use the user_passes_test decorator in class based views?,"return super(UserSettingsView, self).dispatch(*args, **kwargs)"
python/matplotlib - is there a way to make a discontinuous axis?,ax2.spines['left'].set_visible(False)
conversion of bytes to string,binascii.b2a_hex('\x02P\x1cA\xd1\x00\x00\x02\xcb\x11\x00').decode('ascii')
pandas dataframe to list,df['a'].tolist()
python: a4 size for a plot,"f.set_size_inches(11.69, 8.27)"
"python, print delimited list",""""""","""""".join(map(str, a))"
remove list of indices from a list in python,"[element for i, element in enumerate(centroids) if i not in index]"
selecting from multi-index pandas,df.iloc[df.index.get_level_values('A') == 1]
converting integer to list in python,list(str(123))
how to check if type of a variable is string?,"isinstance(s, str)"
splitting on last delimiter in python string?,"s.rsplit(',', 1)"
python beautifulsoup extract specific urls,"soup.find_all('a', href=re.compile('^(?!(?:[a-zA-Z][a-zA-Z0-9+.-]*:|//))'))"
matching 2 regular expressions in python,"re.match('^(a+)+$', 'a' * 24 + '!')"
generating a csv file online on google app engine,"writer.writerow(['Date', 'Time', 'User'])"
replace console output in python,sys.stdout.write('\rDoing thing %i' % i)
setting a clip on a seaborn plot,"sns.kdeplot(x=points['x_coord'], y=points['y_coord'], ax=ax)"
generate a random integer between 0 and 9,"randint(0, 9)"
replace extension '.txt' in basename '/home/user/somefile.txt' with extension '.jpg',print(os.path.splitext('/home/user/somefile.txt')[0] + '.jpg')
read and overwrite a file in python,f.close()
django rest framework - using detail_route and detail_list,"return Response(serializer.errors, status=status.HTTP_400_BAD_REQUEST)"
how to remove rows with null values from kth column onward in python,subset = [x for x in df2.columns if len(x) > 3]
"generate, fill and plot a hexagonal lattice in python",plt.show()
check if string 'a b' only contains letters and spaces,"""""""a b"""""".replace(' ', '').isalpha()"
python: intersection indices numpy array,"numpy.in1d(a, b)"
internals for python tuples,"1, 5, None, (1, 5), (1, 5)"
finding superstrings in a set of strings in python,"['136 139 277 24', '246']"
get a list of of elements resulting from splitting user input by commas and stripping white space from each resulting string `s`,"[s.strip() for s in input().split(',')]"
"check if tuple (2, 3) is not in a list [(2, 3), (5, 6), (9, 1)]","((2, 3) not in [(2, 3), (5, 6), (9, 1)])"
making a list of evenly spaced numbers in a certain range in python,"np.linspace(0, 5, 10)"
numpy: sorting a multidimensional array by a multidimensional array,"a[[[0, 0], [0, 0]], [[0, 0], [0, 0]], [[0, 0], [0, 0]]]"
how to run an applescript from within a python script?,os.system(cmd)
python list sorting dependant on if items are in another list,"sorted([True, False, False])"
removing white space from txt with python,"print(re.sub('(\\S)\\ {2,}(\\S)(\\n?)', '\\1|\\2\\3', s))"
get the last element in list `alist`,alist[(-1)]
creating probability/frequency axis grid (irregularly spaced) with matplotlib,plt.show()
how to filter by sub-level index in pandas,df[df.index.map(lambda x: x[1].endswith('0630'))]
how to write to an existing excel file without overwriting data (using pandas)?,"writer = pd.ExcelWriter(excel_file, engine='openpyxl')"
"how do i convert all strings (like ""fault"") and into a unique float?",(s.factorize()[0] + 1).astype('float')
python mysql escape special characters,sql = 'UPGRADE inventory_server set server_mac = %s where server_name = %s'
python regex to match multiple times,"pattern = re.compile('review: (http://url.com/(\\d+)\\s?)+', re.IGNORECASE)"
how to make a grouped boxplot graph in matplotlib,plt.show()
find rows with non zero values in a subset of columns where `df.dtypes` is not equal to `object` in pandas dataframe,"df.loc[(df.loc[:, (df.dtypes != object)] != 0).any(1)]"
sort dictionary of dictionaries `dic` according to the key 'fisher',"sorted(list(dic.items()), key=lambda x: x[1]['Fisher'], reverse=True)"
replace non-ascii chars from a unicode string u'm\xfasica',"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')"
pandas - fillna with another column,df['Cat1'].fillna(df['Cat2'])
best way to format integer as string with leading zeros?,str(1).zfill(2)
sort tuples based on second parameter,my_list.sort(key=lambda x: x[1])
unescaping escaped characters in a string using python 3.2,s.encode('utf8')
how do i detect if python is running as a 64-bit application?,platform.architecture()
how to get a max string length in nested lists,max(len(word) for word in i)
how to replace each array element by 4 copies in python?,"[[1, 1, 2, 2], [1, 1, 2, 2], [3, 3, 4, 4], [3, 3, 4, 4]]"
pythonic way to write a for loop that doesn't use the loop index,"['_', 'empty', 'unused', 'dummy']"
how do i use seaborns color_palette as a colormap in matplotlib?,plt.show()
how to read multiple files and merge them into a single pandas data frame?,dfs = pd.concat([pd.read_csv('data/' + f) for f in files])
how do i parse xml in python?,print(atype.get('foobar'))
python- find unmatched values from multiple lists,eliminated.append(x)
issue with pandas boxplot within a subplot,"df.pivot('val', 'day', 'val').boxplot(ax=ax)"
how to remove single space between text,"""""""S H A N N O N  B R A D L E Y"""""".replace('  ', '   ')[::2]"
wxpython: how to make a textctrl fill a panel,self.SetSizerAndFit(bsizer)
editing the xml texts from a xml file using python,"open('output.xml', 'wb').write(dom.toxml())"
format timedelta using string variable,"'timedelta(%s=%d)' % ('days', 2)"
is there a reason for python regex not to compile r'(\s*)+'?,"re.compile('(\\s{0,})+')"
convert list of tuples to list?,list(chain.from_iterable(a))
read an excel file 'componentreport-dji.xls',"open('ComponentReport-DJI.xls', 'rb').read(200)"
i'm looking for a pythonic way to insert a space before capital letters,"re.sub('(?<=\\w)([A-Z])', ' \\1', 'WordWordWWWWWWWord')"
pandas: pivoting with multi-index data,"res.pivot(index='Own', columns='Brand', values='Rating')"
how to calculate a column in a row using two columns of the previous row in spark data frame?,df.show()
finding consecutive segments in a pandas data frame,df.reset_index().groupby('A')['index'].apply(np.array)
numpy: find index of elements in one array that occur in another array,"np.where(np.in1d(A, B))[0]"
transposing part of a pandas dataframe,df.fillna(0)
how can i sum the product of two list items using for loop in python?,"list(zip(a, b))"
python: find in list,"3 in [1, 2, 3]"
how to check if a file is a directory or regular file in python?,os.path.isfile('bob.txt')
convert a list to a dictionary in python,"a = ['bi', 'double', 'duo', 'two']"
json in python: how do i get specific parts of an array?,[1505]
convert unicode/utf-8 string to lower/upper case using pure & pythonic library,print('\xc4\x89'.decode('utf-8').upper())
python string to list best practice,"ast.literal_eval('""hello""+"" world""')"
python how do you sort list by occurrence with out removing elements from the list?,"sorted(lst, key=lambda x: (-counts[x], firstidx[x]))"
store different datatypes in one numpy array?,"array([('a', 0), ('b', 1)], dtype=[('keys', '|S1'), ('data', '<i8')])"
viewing the content of a spark dataframe column,df.select('zip_code').collect()
accessing dictionary by key in django template,{{json.key1}}
extracting date from a string in python,"dparser.parse('monkey 20/01/1980 love banana', fuzzy=True)"
"copy file ""/dir/file.ext"" to ""/new/dir/newname.ext""","shutil.copy2('/dir/file.ext', '/new/dir/newname.ext')"
"call a python script ""test1.py""","subprocess.call('test1.py', shell=True)"
clear text from textarea 'foo' with selenium,driver.find_element_by_id('foo').clear()
for loop in python,list(range(10))
python pandas: how to get the row names from index of a dataframe?,list(df.index)
vectorize over the rows of an array,"numpy.apply_along_axis(sum, 1, X)"
replace carriage return in string `somestring` with empty string '',"somestring.replace('\\r', '')"
commit all the changes after executing a query.,dbb.commit()
how to json serialize __dict__ of a django model?,"return HttpResponse(json.dumps(data), content_type='application/json')"
remove string from list if from substring list,[l.split('\\')[-1] for l in list_dirs]
pandas split string into columns,"df['stats'].str[1:-1].str.split(',').apply(pd.Series).astype(float)"
get the indexes of truthy elements of a boolean list as a list/tuple,"[i for i, elem in enumerate(bool_list, 1) if elem]"
creating a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]"
remove leading and trailing zeros in the string 'your_strip',your_string.strip('0')
how to put appropriate line breaks in a string representing a mathematical expression that is 9000+ characters?,wordsep_re = re.compile('(\\s+|(?:-|\\+|\\*\\*|\\*))')
replace nan values in  column 'value' with the mean of data in column 'group' of dataframe `df`,df[['value']].fillna(df.groupby('group').transform('mean'))
tricky string matching,"""""""a_foobar_FooBar baz golf_CART Foo"""""""
setting transparency based on pixel values in matplotlib,plt.show()
relative imports in python 3,myothermodule.py
create 4 numbers in range between 1 and 3,"print(np.linspace(1, 3, num=4, endpoint=False))"
how to append an element of a sublist in python,"[1, 2, 3]"
"plotting a list of (x, y) coordinates in python matplotlib",plt.show()
floating point in python,print('%.3f' % 4.53)
numpy: get random set of rows from 2d array,"A[(np.random.choice(A.shape[0], 2, replace=False)), :]"
how to get output from subprocess.popen(),sys.stdout.flush()
pixelate image with pillow,"palette.append((0, 0, 0))"
double iteration in list comprehension,[x for b in a for x in b]
how do i select a random element from an array in python?,"random.choice([1, 2, 3])"
python regex substitute from some position of pattern,"find.sub('\\1', text)"
numpy replace negative values in array,"numpy.where(a <= 2, a, 2)"
find all substrings in string `mystring` composed only of letters `a` and `b` where each `a` is directly preceded and succeeded by `b`,"re.findall('\\b(?:b+a)+b+\\b', mystring)"
stack two dataframes next to each other in pandas,"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)"
"in python, how to change text after it's printed?",sys.stdout.write('\x1b[D \x1b[D')
python : how to create a dynamic list of class values,"MyList = [inst1, inst2]"
sort list `lst` in descending order based on the second item of each tuple in it,"lst.sort(key=lambda x: x[2], reverse=True)"
pandas dataframe performance,df.loc['2000-1-1':'2000-3-31']
how to get non-blocking/real-time behavior from python logging module? (output to pyqt qtextbrowser),sys.exit(app.exec_())
finding out absolute path to a file from python,os.path.abspath(__file__)
how to gracefully fallback to `nan` value while reading integers from a csv with pandas?,"df = pd.read_csv('my.csv', dtype={'my_column': np.float64}, na_values=['n/a'])"
matplotlib contour plot with intersecting contour lines,plt.show()
how to use flask-script and gunicorn,"manager.add_command('gunicorn', GunicornServer())"
plot data from csv file with matplotlib,"ax1.plot(data['x'], data['y'], color='r', label='the data')"
xml parsing in python using elementtree,tree.find('//BODY').text
google app engine (python) - uploading a file (image),imagedata.image = self.request.get('image')
how do i get the number of lists with a particular element?,"Counter({'a': 3, 'c': 3, 'b': 2, 'd': 1})"
generate a list of all unique pairs of integers in `range(9)`,"list(permutations(list(range(9)), 2))"
run 'test2.py' file with python location 'path/to/python' and arguments 'neededargumetgohere' as a subprocess,"call(['path/to/python', 'test2.py', 'neededArgumetGoHere'])"
how do i get rid of python tkinter root window?,root.deiconify()
fastest way to sort each row in a pandas dataframe,"df.sort(df.columns, axis=1, ascending=False)"
mysql commit current transaction,con.commit()
how can i generate a list of consecutive numbers?,list(range(9))
how to delete a character from a string using python?,"newstr = oldstr.replace('M', '')"
how to dynamically access class properties in python?,"setattr(my_class_instance, 'attr_name', attr_value)"
get first element of each tuple in list `a`,[tup[0] for tup in A]
visualization of scatter plots with overlapping points in matplotlib,plt.show()
how to call python function from nodejs,sys.stdout.flush()
designing a recursive function that uses digit_sum to calculate sum of digits,"return sum(map(int, str(n)))"
how to convert a list by mapping an element into multiple elements in python?,"print([y for x in l for y in (x, x + 1)])"
move a tkinter canvas with mouse,root.mainloop()
passing a list to python from command line,main(sys.argv[1:])
python regex findall alternation behavior,"re.findall('\\d|\\d,\\d\\)', '6,7)')"
get file '~/foo.ini',config_file = os.path.expanduser('~/foo.ini')
how to count the occurrence of certain item in an ndarray in python?,"a = numpy.array([0, 3, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 3, 4])
collections.Counter(a)"
is there a way to make seaborn or vincent interactive?,"plt.plot(x, y)"
how do i open an image from the internet in pil?,im = Image.open(image_file)
put a gap/break in a line plot,plt.show()
sum values from dataframe into parent index - python/pandas,df_sum = df.groupby('parent').sum()
convert hex triplet string `rgbstr` to rgb tuple,"struct.unpack('BBB', rgbstr.decode('hex'))"
substitute occurrences of unicode regex pattern u'\\p{p}+' with empty string '' in string `text`,"return re.sub('\\p{P}+', '', text)"
list of lists into numpy array,"numpy.array([[1, 2], [3, 4]])"
python string interning and substrings,""""""""""""".join(g)"
how to convert list of numpy arrays into single numpy array?,"numpy.concatenate(LIST, axis=0)"
remove the element in list `a` at index `index`,a.pop(index)
remove duplicate chars using regex?,"re.sub('a*', 'a', 'aaabbbccc')"
"splitting a semicolon-separated string to a dictionary, in python",dict(item.split('=') for item in s.split(';'))
pandas dataframe groupby two columns and get counts,"df.groupby(['col5', 'col2']).size().groupby(level=1).max()"
"format all floating variables `var1`, `var2`, `var3`, `var1` to print to two decimal places.","print('%.2f kg = %.2f lb = %.2f gal = %.2f l' % (var1, var2, var3, var4))"
how to define a mathematical function in sympy?,"f.subs(x, 1)"
convert dataframe column type from string to datetime,"pd.to_datetime(pd.Series(['05/23/2005']), format='%m/%d/%Y')"
fastest way to remove all multiple occurrence items from a list?,list_of_lists = [list(k) for k in list_of_tuples]
how to apply numpy.linalg.norm to each row of a matrix?,"numpy.apply_along_axis(numpy.linalg.norm, 1, a)"
java equivalent of python's string partition,"['foo', 'bar hello world']"
python comprehension loop for dictionary,"sum(item.get('one', 0) for item in list(tadas.values()))"
selecting across multiple columns with python pandas?,df[(df['A'] > 1) | (df['B'] < -1)]
manually throw/raise a `valueerror` exception with the message 'a very specific bad thing happened',raise ValueError('A very specific bad thing happened')
python: how to delete rows ending in certain characters?,"df = df[~df['User Name'].str.endswith(('DA', 'PL'))]"
"convert the zip of range `(1, 5)` and range `(7, 11)` into a dictionary","dict(zip(list(range(1, 5)), list(range(7, 11))))"
"resample dataframe `frame` to resolution of 1 hour `1h` for timeseries index, summing values in the column `radiation` averaging those in column `tamb`","frame.resample('1H').agg({'radiation': np.sum, 'tamb': np.mean})"
"find the index of a dict within a list, by matching the dict's value","tom_index = next(index for index, d in enumerate(lst) if d['name'] == 'Tom')"
how do i model a many-to-many relationship over 3 tables in sqlalchemy (orm)?,session.query(Shots).filter_by(event_id=event_id).order_by(asc(Shots.user_id))
how to add multiple values to a dictionary key in python?,a[key].append(2)
get a dictionary from a dictionary `hand` where the values are present,"dict((k, v) for k, v in hand.items() if v)"
finding tuple in the list of tuples (sorting by multiple keys),"sorted(t, key=lambda i: (i[1], -i[2]))"
how to transform a tuple to a string of values without comma and parentheses,""""""" """""".join([str(x) for x in t])"
using beautifulsoup to search html for string,soup.body.findAll(text=re.compile('^Python$'))
split string by capital letter but ignore aaa python regex,""""""" """""".join(re.findall('[A-Z]?[^A-Z\\s]+|[A-Z]+', vendor))"
remove the element in list `a` with index 1,a.pop(1)
iterate items in lists `listone` and `listtwo`,"for item in itertools.chain(listone, listtwo):
    pass"
hexadecimal string to byte array in python,"map(ord, hex_data)"
how can i check if a checkbox is checked in selenium python webdriver?,driver.find_element_by_id('<check_box_id>').is_selected()
get the dimensions of numpy array `a`,N.shape(a)
numpy: get 1d array as 2d array without reshape,"np.array([1, 2, 3], ndmin=2).T"
access an arbitrary element in a dictionary in python,next(iter(dict.values()))
custom sort python,my_list.sort(key=my_key)
delete all values in a list `mylist`,del mylist[:]
how to read lines from mmap file in python?,print(line.rstrip())
convert float 24322.34 to comma-separated string,"""""""{0:,.2f}"""""".format(24322.34)"
zip lists in python,"zip([1, 2], [3, 4])"
append tuples to a tuples,"(1, 2), (3, 4), (5, 6), (8, 9), (0, 0)"
convert string to json using python,print(d['glossary']['title'])
how can i write a list of lists into a txt file?,"[[0, 1, 2, 3, 4], ['A', 'B', 'C', 'D', 'E'], [0, 1, 2, 3, 4]]"
pandas to_csv call is prepending a comma,"df.to_csv('c:\\data\\t.csv', index=False)"
unpivot first 2 columns into new columns 'year' and 'value' from a pandas dataframe `x`,"pd.melt(x, id_vars=['farm', 'fruit'], var_name='year', value_name='value')"
similarity of lists in python - comparing customers according to their features,"[[3, 1, 2], [1, 3, 1], [2, 1, 3]]"
numpy: find index of elements in one array that occur in another array,"np.searchsorted(A, np.intersect1d(A, B))"
"insert records in bulk from ""table1"" of ""master"" db to ""table1"" of  sqlite3 `cursor` object",cursor.execute('INSERT OR REPLACE INTO master.table1 SELECT * FROM table1')
how to print particular json value in python?,a['Z'][0]['A']
django redirect to root from a view,redirect('Home.views.index')
post request url `url` with parameters `payload`,"r = requests.post(url, data=payload)"
return the decimal value for each hex character in data `data`,print(' '.join([str(ord(a)) for a in data]))
get indexes of the largest `2` values from a list `a` using itemgetter,"zip(*sorted(enumerate(a), key=operator.itemgetter(1)))[0][-2:]"
writing multi-line strings into cells using openpyxl,workbook.close()
adding alpha channel to rgb array using numpy,"numpy.dstack((your_input_array, numpy.zeros((25, 54))))"
how to continuously display python output in a webpage?,app.run(debug=True)
change flask security register url to `/create_account`,app.config['SECURITY_REGISTER_URL'] = '/create_account'
converting a list to a string,file2.write(' '.join(buffer))
round number 7.005 up to 2 decimal places,"round(7.005, 2)"
python: how to suppress logging statements from third party libraries?,logging.basicConfig()
django: parse json in my template using javascript,json.dumps(geodata)
how do i print colored output to the terminal in python?,"print(""All normal prints after 'RESET' above."")"
calculating cubic root in python,(1 + math.cos(i)) ** (1 / 3.0)
abort the execution of a python script,sys.exit()
